,fecha,institution_id,logged_users
951,2018-10-30,766,7
952,2018-11-01,1,2273
953,2018-11-01,727,259
954,2018-11-01,708,1189
955,2018-11-01,12,1844
956,2018-11-01,717,194
957,2018-11-01,29,6900
958,2018-11-01,746,306
959,2018-11-01,541,199
960,2018-11-01,0,352
961,2018-11-01,115,10
962,2018-11-01,721,238
963,2018-11-02,580,11
964,2018-11-02,764,52
965,2018-11-02,75,335
966,2018-11-02,82,18
967,2018-11-02,44,9
968,2018-11-03,554,183
969,2018-11-03,687,7
970,2018-11-03,752,278
971,2018-11-03,731,14
972,2018-11-03,653,71
973,2018-11-05,48,222
974,2018-11-05,749,40
975,2018-11-05,18,21
976,2018-11-05,739,4
977,2018-11-05,730,20
978,2018-11-05,741,45
979,2018-11-05,753,3
980,2018-11-05,603,248
981,2018-11-05,766,463
982,2018-11-05,747,3230
983,2018-11-05,736,299
984,2018-11-05,757,266
985,2018-11-05,677,760
986,2018-11-05,748,14
987,2018-11-06,228,33
988,2018-11-07,579,3
989,2018-11-07,468,1
990,2018-11-08,735,4
991,2018-11-12,760,16
992,2018-11-12,756,13
993,2018-11-14,54,2
994,2018-11-16,16,1
995,2018-11-18,17,2
996,2018-11-20,43,1
997,2018-11-22,762,45
998,2018-11-26,738,20
999,2018-11-27,119,1
1000,2018-11-28,536,1
1001,2018-11-29,6,1
1002,2018-11-29,26,1
1003,2018-11-30,14,1
1004,2018-11-30,719,3
1005,2018-12-01,747,781
1006,2018-12-01,12,1183
1007,2018-12-01,541,392
1008,2018-12-01,717,282
1009,2018-12-01,748,15
1010,2018-12-01,48,314
1011,2018-12-01,554,108
1012,2018-12-01,736,269
1013,2018-12-01,762,180
1014,2018-12-01,0,202
1015,2018-12-01,228,37
1016,2018-12-01,721,243
1017,2018-12-01,75,811
1018,2018-12-01,677,870
1019,2018-12-01,18,26
1020,2018-12-01,580,1
1021,2018-12-01,1,403
1022,2018-12-01,727,2811
1023,2018-12-01,708,1357
1024,2018-12-01,29,3243
1025,2018-12-01,766,88
1026,2018-12-02,603,30
1027,2018-12-02,653,78
1028,2018-12-02,82,3
1029,2018-12-02,746,148
1030,2018-12-03,756,8
1031,2018-12-03,44,18
1032,2018-12-03,757,99
1033,2018-12-03,735,7
1034,2018-12-03,760,11
1035,2018-12-03,749,33
1036,2018-12-03,752,296
1037,2018-12-03,738,15
1038,2018-12-03,764,8
1039,2018-12-04,730,8
1040,2018-12-04,741,36
1041,2018-12-04,54,6
1042,2018-12-05,101,1
1043,2018-12-05,731,8
1044,2018-12-06,767,23
1045,2018-12-06,676,1
1046,2018-12-06,17,7
1047,2018-12-06,745,12
1048,2018-12-07,768,871
1049,2018-12-13,709,11
1050,2018-12-13,743,12
1051,2018-12-13,719,1
1052,2018-12-13,769,2614
1053,2018-12-14,15,8
1054,2018-12-17,770,119
1055,2018-12-18,5,1
1056,2018-12-18,575,1
